attIdx	shapeIdx	attMs	attSamples	shapeSlider	overshoot	correction_mult
0	0	0.0460	2.21	0.0000	0.00000000e+00	4.54908030e-01
0	1	0.0460	2.21	0.0323	0.00000000e+00	4.59677049e-01
0	2	0.0460	2.21	0.0645	0.00000000e+00	4.64511056e-01
0	3	0.0460	2.21	0.0968	0.00000000e+00	4.69410877e-01
0	4	0.0460	2.21	0.1290	0.00000000e+00	4.74377348e-01
0	5	0.0460	2.21	0.1613	0.00000000e+00	4.79411316e-01
0	6	0.0460	2.21	0.1935	0.00000000e+00	4.84513642e-01
0	7	0.0460	2.21	0.2258	0.00000000e+00	4.89678930e-01
0	8	0.0460	2.21	0.2581	0.00000000e+00	4.94797457e-01
0	9	0.0460	2.21	0.2903	0.00000000e+00	4.99983793e-01
0	10	0.0460	2.21	0.3226	0.00000000e+00	5.05238772e-01
0	11	0.0460	2.21	0.3548	0.00000000e+00	5.10563244e-01
0	12	0.0460	2.21	0.3871	0.00000000e+00	5.15958066e-01
0	13	0.0460	2.21	0.4194	0.00000000e+00	5.21424109e-01
0	14	0.0460	2.21	0.4516	0.00000000e+00	5.45909360e-01
0	15	0.0460	2.21	0.4839	0.00000000e+00	5.49866759e-01
0	16	0.0460	2.21	0.5161	7.71913328e-02	5.14409198e-01
0	17	0.0460	2.21	0.5484	7.33429363e-02	5.25253692e-01
0	18	0.0460	2.21	0.5806	6.95035855e-02	5.36237226e-01
0	19	0.0460	2.21	0.6129	6.56733670e-02	5.47469308e-01
0	20	0.0460	2.21	0.6452	6.18646639e-02	5.58936203e-01
0	21	0.0460	2.21	0.6774	5.83362378e-02	5.70223961e-01
0	22	0.0460	2.21	0.7097	5.48164770e-02	5.81756730e-01
0	23	0.0460	2.21	0.7419	5.13054543e-02	5.93539832e-01
0	24	0.0460	2.21	0.7742	4.78032408e-02	6.05410292e-01
0	25	0.0460	2.21	0.8065	4.43099057e-02	6.17490606e-01
0	26	0.0460	2.21	0.8387	4.08255167e-02	4.41578514e-01
0	27	0.0460	2.21	0.8710	0.00000000e+00	5.03431654e-01
0	28	0.0460	2.21	0.9032	0.00000000e+00	5.08823569e-01
0	29	0.0460	2.21	0.9355	0.00000000e+00	5.14284121e-01
0	30	0.0460	2.21	0.9677	0.00000000e+00	5.19755956e-01
0	31	0.0460	2.21	1.0000	0.00000000e+00	5.25207225e-01
1	0	0.0509	2.44	0.0000	0.00000000e+00	5.30725834e-01
1	1	0.0509	2.44	0.0323	0.00000000e+00	5.36312557e-01
1	2	0.0509	2.44	0.0645	0.00000000e+00	5.41968177e-01
1	3	0.0509	2.44	0.0968	0.00000000e+00	5.47693486e-01
1	4	0.0509	2.44	0.1290	0.00000000e+00	5.75960389e-01
1	5	0.0509	2.44	0.1613	0.00000000e+00	5.80138522e-01
1	6	0.0509	2.44	0.1935	0.00000000e+00	5.84356213e-01
1	7	0.0509	2.44	0.2258	0.00000000e+00	5.88613770e-01
1	8	0.0509	2.44	0.2581	0.00000000e+00	5.92911503e-01
1	9	0.0509	2.44	0.2903	0.00000000e+00	5.97249724e-01
1	10	0.0509	2.44	0.3226	0.00000000e+00	6.01628750e-01
1	11	0.0509	2.44	0.3548	0.00000000e+00	6.06048899e-01
1	12	0.0509	2.44	0.3871	0.00000000e+00	6.10510490e-01
1	13	0.0509	2.44	0.4194	0.00000000e+00	6.15013849e-01
1	14	0.0509	2.44	0.4516	0.00000000e+00	6.19559300e-01
1	15	0.0509	2.44	0.4839	0.00000000e+00	6.24147173e-01
1	16	0.0509	2.44	0.5161	9.73780192e-02	5.58658532e-01
1	17	0.0509	2.44	0.5484	9.36743368e-02	5.69857291e-01
1	18	0.0509	2.44	0.5806	8.99776302e-02	5.81077858e-01
1	19	0.0509	2.44	0.6129	8.62880122e-02	4.18550081e-01
1	20	0.0509	2.44	0.6452	8.26055933e-02	4.27443945e-01
1	21	0.0509	2.44	0.6774	7.89304819e-02	4.36540881e-01
1	22	0.0509	2.44	0.7097	7.52627843e-02	4.45845566e-01
1	23	0.0509	2.44	0.7419	7.16026045e-02	4.55241863e-01
1	24	0.0509	2.44	0.7742	6.79500446e-02	4.64759541e-01
1	25	0.0509	2.44	0.8065	6.46125037e-02	4.73942010e-01
1	26	0.0509	2.44	0.8387	6.27444282e-02	4.80662218e-01
1	27	0.0509	2.44	0.8710	6.08695807e-02	4.87501142e-01
1	28	0.0509	2.44	0.9032	5.89881022e-02	4.94460879e-01
1	29	0.0509	2.44	0.9355	5.71001329e-02	5.01543564e-01
1	30	0.0509	2.44	0.9677	5.52058125e-02	5.08751367e-01
1	31	0.0509	2.44	1.0000	5.33052799e-02	5.16086500e-01
2	0	0.0564	2.71	0.0000	0.00000000e+00	6.39777359e-01
2	1	0.0564	2.71	0.0323	0.00000000e+00	6.44350533e-01
2	2	0.0564	2.71	0.0645	0.00000000e+00	6.48962275e-01
2	3	0.0564	2.71	0.0968	0.00000000e+00	6.53612845e-01
2	4	0.0564	2.71	0.1290	0.00000000e+00	6.58302503e-01
2	5	0.0564	2.71	0.1613	0.00000000e+00	6.63031513e-01
